run,removed_count,retained_count,fit_max,fit_mean,heldout_max,heldout_mean,heldout_converged
static_severity,3,294,0.0,0.0,0.0,0.0,True
static_severity,4,293,0.0,0.0,0.0,0.0,True
static_severity,5,292,0.0,0.0,0.0,0.0,True
static_severity,6,291,0.0,0.0,0.0,0.0,True
static_severity,7,290,0.0,0.0,0.0,0.0,True
static_severity,8,289,0.0,0.0,0.0,0.0,True
static_severity,9,288,0.0,0.0,0.0,0.0,True
static_severity,10,287,0.0,0.0,0.0,0.0,True
static_severity,11,286,0.0,0.0,0.0,0.0,True
static_severity,12,285,0.0,0.0,0.0,0.0,True
static_severity,13,284,0.0,0.0,0.0,0.0,True
static_severity,14,283,0.0,0.0,0.0,0.0,True
static_severity,15,282,0.0,0.0,0.0,0.0,True
static_severity,16,281,0.0,0.0,0.0,0.0,True
static_severity,17,280,0.0,0.0,0.0,0.0,True
static_severity,18,279,0.0,0.0,0.0,0.0,True
static_severity,19,278,0.0,0.0,0.0,0.0,True
static_severity,20,277,0.0006607066605459842,0.0003960611943526239,0.0005401439744212426,0.00036298096085310465,True
static_severity,21,276,0.0023077791371208076,0.001935992106153023,0.0019729687784054415,0.0016148929852217815,True
static_severity,22,275,0.004073110479150723,0.0028070125333734563,0.003595495612390809,0.00245912144717202,True
static_severity,23,274,0.005388421023596406,0.004522259094898346,0.005036094692426918,0.0038621806794523947,True
static_severity,24,273,0.007594297215538172,0.006357246215380456,0.006570850668449214,0.005400114227635419,True
static_severity,25,272,0.010298592872578841,0.007942294338338969,0.00817385660975559,0.006670621329894329,True
static_severity,26,271,0.012949692015198447,0.010367812507597635,0.010700170383734482,0.008651369865812275,True
static_severity,27,270,0.015989170105936274,0.012467911888487629,0.012895566062957314,0.0102467565235477,True
static_severity,28,269,0.019868990766506313,0.015337820010100376,0.016929509218633173,0.012649711642559083,True
static_severity,29,268,0.02297224680996592,0.018473864997732084,0.019870152102249607,0.015294855239416415,True
static_severity,30,267,0.026281853334723968,0.02228378733395807,0.02309523211877804,0.018617196065770256,True
static_severity,31,266,0.02792080412403625,0.024557606538192233,0.0261508498629827,0.020850843373728636,True
static_severity,32,265,0.034514871046001906,0.03076046873582869,0.03233284542001727,0.026253873663456297,True
static_severity,33,264,0.040800256329242376,0.036103635007289414,0.038319229497903166,0.031032348128232703,True
static_severity,34,263,0.04774855256030426,0.0403162821367325,0.0437872807566706,0.034934383437589187,True
static_severity,35,262,0.04791160767717672,0.043147109021841636,0.04539292921741069,0.038058720590807456,True
static_severity,36,261,0.0470355793675138,0.0405966695070556,0.04363378971278377,0.03537296273499405,True
static_severity,37,260,0.04993792850431545,0.04493886922336159,0.04766455668082546,0.03891978142233893,True
static_severity,38,259,0.04472714815519881,0.03934155643692504,0.03898385886653833,0.03413505189294565,True
static_severity,39,258,0.04864574902383164,0.043088329795992225,0.04321894039054414,0.03700844403997862,True
static_severity,40,257,0.04999719170567654,0.0452617979661157,0.0506976065421265,0.039242488262309104,True
static_severity,41,256,0.04153798824055379,0.03265888768850823,0.03716934107537729,0.026199913621199226,True
static_severity,42,255,0.0392218668230487,0.034247780109688784,0.03838593866217453,0.028250388147673732,True
static_severity,43,254,0.0394805294603261,0.03516012605202213,0.038362857762812626,0.029924404033906237,True
static_severity,44,253,0.03972502743847691,0.035753897435389086,0.03816879535923281,0.03162585406542526,True
static_severity,45,252,0.04413067353942061,0.03920844192834557,0.040095907228116484,0.03544156975569004,True
static_severity,46,251,0.04548802804576529,0.03594647335803026,0.04074574423005494,0.03172581646757105,True
static_severity,47,250,0.04776709427545869,0.04058744506431873,0.043333996242257124,0.03610001283239322,True
static_severity,48,249,0.049715578451343966,0.043324500810460194,0.04454716296301499,0.03857226053977837,True
out_strength,0,297,0.0,0.0,0.0,0.0,True
out_strength,1,296,0.0,0.0,0.0,0.0,True
out_strength,2,295,0.0,0.0,0.0,0.0,True
out_strength,3,294,0.0006607066605459842,0.0003960611943526239,0.0005401439744212426,0.00036298096085310465,True
out_strength,4,293,0.0006607066605459842,0.0003960611943526239,0.0005401439744212426,0.00036298096085310465,True
out_strength,5,292,0.0006607066605459842,0.0003960611943526239,0.0005401439744212426,0.00036298096085310465,True
out_strength,6,291,0.006476079981449616,0.003045311672358754,0.0051087090679411366,0.0029604608720689464,True
out_strength,7,290,0.007785127292316423,0.004852389336470199,0.006608017149516704,0.004469387671336427,True
out_strength,8,289,0.008732672665653569,0.00645253917824123,0.007753236438400147,0.005755579121677209,True
out_strength,9,288,0.01074434950010155,0.008592020579912494,0.009736447508911398,0.007369214151347118,True
out_strength,10,287,0.01221853205697614,0.010274759527541007,0.01114080489279344,0.00874535625544872,True
out_strength,11,286,0.014236928641341271,0.011792082333394549,0.012467682962178475,0.009982173192157108,True
out_strength,12,285,0.01813240723287011,0.014674223221333195,0.015521454558981133,0.012394439705827279,True
out_strength,13,284,0.020714761264406214,0.01705498245386412,0.018004149750150335,0.014344138986450629,True
out_strength,14,283,0.020958763452594713,0.01762167189999683,0.018310734348847776,0.014891308434424514,True
out_strength,15,282,0.028953887515328076,0.0224099178953909,0.02431121153408561,0.018567446213181744,True
out_strength,16,281,0.028953887515328076,0.0224099178953909,0.02431121153408561,0.018567446213181744,True
out_strength,17,280,0.03198631466013156,0.025502180793252328,0.02720231206775407,0.021183997994065288,True
out_strength,18,279,0.035222327231079,0.029263145495769315,0.030380159259785607,0.024473915620709195,True
out_strength,19,278,0.03476489767022334,0.029330294955781117,0.02999867336569268,0.02496175781420996,True
out_strength,20,277,0.04586420662253938,0.03722178221753151,0.03964457313431202,0.03136367431558983,True
out_strength,21,276,0.04586420662253938,0.03722178221753151,0.03964457313431202,0.03136367431558983,True
out_strength,22,275,0.04600293961019215,0.037761610626116646,0.040322469492614615,0.031626947739371636,True
out_strength,23,274,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,24,273,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,25,272,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,26,271,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,27,270,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,28,269,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,29,268,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,30,267,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,31,266,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,32,265,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,33,264,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,34,263,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
out_strength,35,262,0.047454621752799776,0.04053129132520151,0.04882413549942101,0.0343588263967125,True
